tweet_id,user,created_on,tweet_text,fav_count,user_description,user_verified,user_follower_count,is_retweet,hashtags
1387491714114457603,angelalambert14,2021-04-28 19:39:37,"577 million doses?         U.K. Total pop. 67m? 

Awaiting MHRA approval? When we ALREADY have Pfizer, Moderna, AstraZeneca? 

* Janssen
* Novavax
* Valneva
* GSK
* Valneva
* Curevac

ANYONE KNOW WHAT IS GOING ON HERE? 

https://t.co/HecpGOOxlg https://t.co/TKqAFuWpSN",0,Painter of human and animal faces.😊#kbf #abstractart #nomasks #nojabs,False,1099,1,[]
1387491714449899523,NIRAVRITA,2021-04-28 19:39:37,"Nobody is crying that an Ambulance wala is charging you Rs 25,000 to take you to the hospital, and an Oxygen cylinder is selling for 38000 rs for a few hours of Oxygen, but you can't pay Rs 400 for a lifesaving vaccine.",0,HINDU RASHTRA 🔥✊,False,160,1,[]
1387491714500382720,AngieJaber,2021-04-28 19:39:37,"Steven Mnuchin funneled $450B of PPP Covid relief loans, gave millions to himself, Kushner, Devin Nunes, Betsy DeVos, Joel Osteen, Kanye West, Tom Brady, $334K to Moscow Mitch’s wife Elaine Chao. GQPers had a $1.5T tax scam. Suddenly they care about costs. Return that $ and STFU.",0,"Mom to 5 Palestinian kids, #socialjustice#trumpfreeWH,#freePalestine,#LGBTQ,#womensrights#DACA #blacklivesmatter #pro immigration #resistance#curePPMS🌊",False,6235,1,[]
1387491714601005058,Derek5ty,2021-04-28 19:39:37,"""Meningitis kills a fair number of people every year but we don’t require everyone to start a regimen of antibiotics before they returned to work,"" says @TuckerCarlson, who is apparently unaware of the existence of a vaccine against against it that many colleges require. https://t.co/H74q1571wI",0,Maybe you’re just like my mother. She’s never satisfied.,False,168,1,[]
1387491714655526914,kheira241,2021-04-28 19:39:37,"JUST IN - Vaccine passports are officially outlawed in Florida now, the bill passed 76-40.",0,,False,14,1,[]
1387491714940620801,Kad150819990426,2021-04-28 19:39:37,"3 BJP MLAs have lost lives to Covid in UP in last 1 week.

But his focus is to manage PR, not the Covid situation. Sad state of affairs.",0,வட மாநில முட்டாள்களின் தேர்வால் தென்னிந்தியாவும் பாதிக்கபடுவதை நினைத்து தினமும் வருந்தும் சாதாரண திராவிடன் நான் 😔,False,2467,1,[]
1387491714882019331,Crookedgovt,2021-04-28 19:39:37,"@WritesBright This is probably one of the most concerning developments of the affair so far.

If Geidt ends up being another enabler  for Johnson that implies the ""establishment"" Geidt is part of backs the disasterous conservative/ libertarian project we are being subjected to.",0,"Observing the ongoing transformation of the UK into America Jr.
S.O.S: stuck on disaster capitalism libertarian island.
Prepare for May 2024. Anything but Tory.",False,101,0,[]
1387491714953355264,Peacewind13,2021-04-28 19:39:37,"YOU POS! #PaidSickDays 
Not through WSIB which is designed only to DENY benefits. It's a proposed bill only, provides no #immediateneeded relief. 3 days COVID ONLY relief doesn't match Pub Hlth covid isolation required days. F*k u  all @fordnation Criminally negligent! #onpoli https://t.co/rmUqPRHn1O",0,She/Her - Proud #Earper - DFWMF - Member of #GentlePervsInc - Tits Deep for #KatBarrell - #WynonnaEarp #FiveForWynonna #WayHaught #Wynaught #TeamBarretti,False,2025,1,['PaidSickDays']
1387491715091677185,frankiebeeeee,2021-04-28 19:39:37,"""Two weeks after getting your first dose of the vaccine, yes, you can go hug your parents.""

@TorontoIDDoc speaks with @ACarterglobal on what you can and can't safely do once you get your first dose of the vaccine. 

https://t.co/XIIkt3RBw5",0,,False,431,1,[]
1387491715527987202,gibbsy66,2021-04-28 19:39:37,"@PaulBrandITV @peterjukes How about a prime minister - such as Johnson -  who killed 60,000 people last year with a deliberate lethal and criminal herd immunity experiment Paul ? Would he face any pressure to resign ?",0,#FBPE Biden/Harris 🇺🇸❤️ EU. BLM. Freedom fighter. Absolutely NOT moving on. Justice for George Floyd! I know ‘1984’ & ‘Macbeth’ well & live in both. Feminist.,False,8342,1,[]
1387491715523743754,CarryOnMargate,2021-04-28 19:39:37,"You’re in a bad marriage.
Don’t kill them and get life imprisonment.
Wait till they get Covid. There will be no autopsy. 😉",0,,False,331,1,[]
